tweet_id,retweet_count,favorite_count
892420643555336193,7984,37273
892177421306343426,5930,32049
891815181378084864,3917,24148
891689557279858688,8142,40589
891327558926688256,8816,38826
891087950875897856,2933,19505
890971913173991426,1945,11391
890729181411237888,17790,62859
890609185150312448,4035,26846
890240255349198849,6950,30746
890006608113172480,6908,29578
889880896479866881,4705,26826
889665388333682689,9461,46325
889638837579907072,4237,26109
889531135344209921,2123,14573
889278841981685760,5049,24319
888917238123831296,4237,28080
888804989199671297,4016,24650
888554962724278272,3321,19087
888078434458587136,3274,20969
887705289381826560,5079,29090
887517139158093824,11060,44625
887473957103951883,17008,66370
887343217045368832,9847,32439
887101392804085760,5620,29466
886983233522544640,7243,33818
886736880519319552,3057,11578
886680336477933568,4198,21619
886366144734445568,3003,20397
886267009285017600,4,116
886258384151887873,5947,26966
886054160059072513,104,0
885984800019947520,6369,31418
885528943205470208,6051,34674
885518971528720385,3513,19717
885311592912609280,17473,0
885167619883638784,4125,21115
884925521741709313,17103,74547
884876753390489601,5280,26887
884562892145688576,4437,23406
884441805382717440,5360,26057
884247878851493888,19191,70222
884162670584377345,2813,19631
883838122936631299,3255,21081
883482846933004288,9339,44253
883360690899218434,3493,21872
883117836046086144,6279,35816
882992080364220416,3691,23045
882762694511734784,4624,27260
882627270321602560,5735,26926
882268110199369728,10930,43299
882045870035918850,4628,28265
881906580714921986,3209,23431
881666595344535552,10073,48810
881633300179243008,7,122
881536004380872706,15074,47646
881268444196462592,4943,22342
880935762899988482,2635,16423
880872448815771648,3608,20514
880465832366813184,5888,27486
880221127280381952,3972,26038
880095782870896641,4095,26641
879862464715927552,3297,21552
879674319642796034,10,302
879492040517615616,3007,22630
879415818425184262,41968,102110
879376492567855104,2943,16212
879130579576475649,6444,0
879050749262655488,4427,21735
879008229531029506,2544,18299
878776093423087618,3888,18714
878604707211726852,6750,29138
878404777348136964,1223,0
878316110768087041,6317,0
878281511006478336,1223,7464
878057613040115712,6444,40588
877736472329191424,18011,76850
877611172832227328,77,0
877556246731214848,3613,21922
877316821321428993,4900,26442
877201837425926144,5285,26168
876838120628539392,3162,19994
876537666061221889,4421,22764
876484053909872640,2261,18129
876120275196170240,4432,26982
875747767867523072,4052,24311
875144289856114688,4675,21179
875097192612077568,5760,26502
875021211251597312,4485,24617
874680097055178752,4402,26892
874434818259525634,13863,0
874296783580663808,3905,25175
874057562936811520,3762,21948
874012996292530176,9814,33366
